missing data:, DRP, on date:, 1,4,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 9007.009 
missing data:, DRP, on date:, 1,5,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 10293.7246 
missing data:, DRP, on date:, 1,6,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 10315.5333 
missing data:, DRP, on date:, 1,7,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 9159.6702 
missing data:, DRP, on date:, 1,8,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 7851.1459 
missing data:, DRP, on date:, 1,9,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 6586.239 
missing data:, DRP, on date:, 1,10,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 4950.5836 
missing data:, DRP, on date:, 1,11,2005, filled with average monthly concentration (mg/L):, 0.08752, to get load of (kg/d):, 4025.5301 
missing data:, DRP, on date:, 1,12,2005, filled with average monthly concentration (mg/L):, 0.08544, to get load of (kg/d):, 7734.2976 
missing data:, DRP, on date:, 1,13,2005, filled with average monthly concentration (mg/L):, 0.08331, to get load of (kg/d):, 14675.3189 
missing data:, DRP, on date:, 1,14,2005, filled with average monthly concentration (mg/L):, 0.07945, to get load of (kg/d):, 17144.3255 
missing data:, DRP, on date:, 1,15,2005, filled with average monthly concentration (mg/L):, 0.07691, to get load of (kg/d):, 15410.7803 
missing data:, DRP, on date:, 1,16,2005, filled with average monthly concentration (mg/L):, 0.07488, to get load of (kg/d):, 11486.5946 
