year,month,day,TP(kg)
2002,10,4,113.38
2002,10,5,196.36
2002,10,6,106.51
2002,10,7,83.36
2002,10,8,44.58
2002,10,9,81.49
2002,10,10,70.40
2002,10,11,51.12
2002,10,12,45.82
2002,10,13,72.66
2002,10,14,46.23
2002,10,15,41.74
2002,10,16,52.36
2002,10,17,38.68
2002,10,18,37.29
2002,10,19,86.10
2002,10,20,39.76
2002,10,21,27.81
2002,10,22,46.03
2002,10,23,71.45
2002,10,24,46.31
2002,10,25,41.27
2002,10,26,67.80
2002,10,27,45.11
2002,10,28,32.70
2002,10,29,35.84
2002,10,30,74.46
2002,10,31,93.27
2002,11,1,69.02
2002,11,2,33.63
2002,11,3,14.51
2002,11,4,22.64
2002,11,5,19.97
2002,11,6,56.64
2002,11,7,66.86
2002,11,8,55.55
2002,11,9,33.20
2002,11,10,72.65
2002,11,11,194.72
2002,11,12,500.94
2002,11,13,814.33
2002,11,14,696.41
2002,11,15,462.05
2002,11,16,279.19
2002,11,17,281.73
2002,11,18,320.78
2002,11,19,304.47
2002,11,20,189.26
2002,11,21,201.01
2002,11,22,264.60
2002,11,23,256.54
2002,11,24,293.29
2002,11,25,294.16
2002,11,26,368.27
2002,11,27,421.75
2002,11,28,429.61
2002,11,29,389.26
2002,11,30,296.42
2002,12,1,279.12
2002,12,2,272.43
2002,12,3,315.43
2002,12,4,298.50
2002,12,5,316.58
2002,12,6,244.28
2002,12,7,212.48
2002,12,8,127.31
2002,12,9,111.58
2002,12,10,128.32
2002,12,11,129.27
2002,12,12,96.89
2002,12,13,71.81
2002,12,14,75.44
2002,12,15,67.44
2002,12,16,72.48
2002,12,17,111.55
2002,12,18,124.38
2002,12,19,310.43
2002,12,20,7193.74
2002,12,21,7744.57
2002,12,22,8677.40
2002,12,23,5447.15
2002,12,24,1832.76
2002,12,25,1574.95
2002,12,26,1124.64
2002,12,27,1115.43
2002,12,28,1046.64
2002,12,29,727.71
2002,12,30,612.15
2002,12,31,3836.79
2003,1,1,20557.81
2003,1,2,23777.74
2003,1,3,15116.26
2003,1,4,6448.59
2003,1,5,4642.52
2003,1,6,2796.13
2003,1,7,2077.14
2003,1,8,1685.69
2003,1,9,1362.25
2003,1,10,1153.56
2003,1,11,1647.03
2003,1,12,2366.32
2003,1,13,1401.76
2003,1,14,720.71
2003,1,15,526.26
2003,1,16,439.28
2003,1,17,340.86
2003,1,18,307.53
2003,1,19,266.43
2003,1,20,242.30
2003,1,21,260.16
2003,1,22,247.96
2003,1,23,218.11
2003,1,24,181.57
2003,1,25,201.99
2003,1,26,223.84
2003,1,27,233.67
2003,1,28,238.98
2003,1,29,236.33
2003,1,30,210.14
2003,1,31,197.16
2003,2,1,185.97
2003,2,2,158.01
2003,2,3,143.12
2003,2,4,272.82
2003,2,5,628.87
2003,2,6,1557.19
2003,2,7,1729.33
2003,2,8,1630.66
2003,2,9,3426.18
2003,2,10,1329.04
2003,2,11,845.83
2003,2,12,561.49
2003,2,13,433.46
2003,2,14,349.64
2003,2,15,305.09
2003,2,16,240.35
2003,2,17,502.99
2003,2,18,704.86
2003,2,19,429.37
2003,2,20,291.04
2003,2,21,198.94
2003,2,22,366.10
2003,2,23,1073.00
2003,2,24,1369.00
2003,2,25,2180.87
2003,2,26,2451.46
2003,2,27,1762.75
2003,2,28,1534.98
2003,3,1,1305.15
2003,3,2,1065.92
2003,3,3,876.51
2003,3,4,760.81
2003,3,5,662.29
2003,3,6,762.74
2003,3,7,1013.47
2003,3,8,3265.68
2003,3,9,2560.09
2003,3,10,3703.13
2003,3,11,7583.88
2003,3,12,9690.87
2003,3,13,11256.19
2003,3,14,20017.85
2003,3,15,33410.71
2003,3,16,70029.68
2003,3,17,39886.97
2003,3,18,26063.33
2003,3,19,18398.13
2003,3,20,11286.13
2003,3,21,10509.30
2003,3,22,9260.37
2003,3,23,8846.95
2003,3,24,6299.46
2003,3,25,3872.37
