year,month,day,flow (cms)
1978,1,19,33.98016
1978,1,20,31.14848
1978,1,21,31.14848
1978,1,22,31.14848
1978,1,23,31.14848
1978,1,24,28.3168
1978,1,25,28.3168
1978,1,26,28.3168
1978,1,27,27.750464
1978,1,28,27.184128
1978,1,29,27.184128
1978,1,30,26.617792
1978,1,31,26.617792
1978,2,1,26.051456
1978,2,2,26.051456
1978,2,3,26.051456
1978,2,4,25.48512
1978,2,5,25.48512
1978,2,6,25.48512
1978,2,7,25.48512
1978,2,8,25.48512
1978,2,9,24.918784
1978,2,10,24.918784
1978,2,11,24.352448
1978,2,12,24.352448
1978,2,13,24.352448
